"Date","Time","RunningVMs","SavedVMs","PausedVMs","StoppedVMs"
"2020-09-14","21-43-24","6","0","1","5"
"2020-09-14","21-56-55","6","0","1","5"
"2020-09-14","21-56-57","6","0","1","5"
"2020-09-14","21-56-59","6","0","1","5"
